Analysis no.,Stat. pos.,Eruption,controlcode_old,controlcode,Epoch,Analysis label,Date of analysis,NA2O,MGO,AL2O3,SIO2,K2O,CAO,TIO2,MNO,FEO,P2O5,Cl,F,Total
1,66,Monte Nuovo,0,0,,cf96_16,190110,6.40,0.22,18.50,56.27,7.07,1.74,0.42,0.27,2.89,220,8879,,94.68
2,66,Monte Nuovo,0,0,,cf96_5,190110,6.63,0.25,18.45,56.56,7.11,1.57,0.48,0.28,3.31,24,9413,,95.59
3,66,Monte Nuovo,0,0,,cf96_7,190110,6.89,0.23,18.23,57.21,7.12,1.68,0.41,0.21,2.85,268,8501,,95.69
4,66,Monte Nuovo,0,0,,cf96_10,190110,6.88,0.18,18.62,57.23,7.16,1.57,0.43,0.17,2.82,286,8704,,95.97
5,66,Monte Nuovo,0,0,,cf96_1,190110,6.97,0.21,18.52,57.15,7.26,1.78,0.42,0.12,2.79,355,8837,,96.13
6,66,Monte Nuovo,0,0,,cf96_2,190110,6.33,0.22,18.44,57.47,7.40,1.50,0.46,0.25,3.22,147,8546,,96.15
7,66,Monte Nuovo,0,0,,cf96_11,190110,6.69,0.22,18.98,57.88,7.51,1.65,0.43,0.23,2.73,0,8715,,97.19
8,66,Monte Nuovo,0,0,,cf96_9,190110,7.37,0.17,18.62,57.69,7.30,1.69,0.40,0.19,2.93,234,8287,,97.22
9,66,Monte Nuovo,0,0,,cf96_4,190110,7.32,0.20,18.94,57.98,7.12,1.72,0.44,0.31,2.75,359,8656,,97.68
10,66,Monte Nuovo,0,0,,cf96_12,190110,7.03,0.18,19.05,58.63,7.75,1.74,0.39,0.11,2.73,376,8373,,98.48
11,66,Monte Nuovo,0,0,,cf96_14,190110,6.97,0.21,19.35,59.22,7.37,1.72,0.44,0.20,2.84,319,9103,,99.27
12,63,Astroni 7,1,1,three-b,cf79_1,301009,4.26,0.64,18.86,59.63,9.09,2.84,0.49,0.08,3.52,1789,6584,1744,100.43
13,63,Astroni 7,1,1,three-b,cf79_2,301009,4.24,0.63,18.83,59.99,8.97,2.67,0.49,0.08,3.38,1028,6196,554,100.05
14,63,Astroni 7,1,1,three-b,cf79_3,301009,4.21,0.62,19.30,59.22,9.10,2.58,0.49,0.05,3.55,1650,6977,1728,100.14
15,63,Astroni 7,1,1,three-b,cf79_4,301009,4.19,0.64,19.44,58.44,8.95,2.55,0.49,0.12,3.65,943,5737,1576,99.30
16,63,Astroni 7,1,1,three-b,cf79_5,301009,4.38,0.62,19.43,59.55,9.04,2.68,0.49,0.09,3.41,1579,7554,1565,100.74
17,63,Astroni 7,1,1,three-b,cf79_6,301009,4.38,0.59,19.20,59.57,9.19,2.67,0.51,0.14,3.52,1286,7376,603,100.71
18,63,Astroni 7,1,1,three-b,cf79_8,301009,4.19,0.63,19.30,59.84,9.05,2.58,0.51,0.18,3.52,1013,6422,1675,100.72
19,63,Astroni 7,1,1,three-b,cf79_9,301009,4.27,0.67,19.41,59.14,8.91,2.68,0.49,0.03,3.37,1350,6629,1270,99.89
20,63,Astroni 7,1,1,three-b,cf79_10,301009,4.22,0.73,19.25,58.66,8.99,2.89,0.49,0.18,3.69,1943,6612,3311,100.28
21,63,Astroni 7,1,1,three-b,cf79_11,301009,4.19,0.72,19.54,58.13,9.03,2.78,0.46,0.16,3.71,1589,6575,595,99.60
22,63,Astroni 7,1,1,three-b,cf79_12,301009,4.53,0.71,19.10,59.14,9.01,2.86,0.46,0.07,3.54,1200,6323,1416,100.30
23,63,Astroni 7,1,1,three-b,cf79_13,301009,3.90,0.53,19.41,60.14,9.48,2.69,0.43,0.12,2.80,1094,5466,863,100.25
24,63,Astroni 7,1,1,three-b,cf79_14,301009,4.14,0.59,19.33,58.84,9.20,2.52,0.50,0.19,3.46,1731,6157,1991,99.76
25,63,Astroni 7,1,1,three-b,cf79_15,301009,4.40,0.64,19.32,59.49,8.86,2.63,0.52,0.03,3.64,1074,6738,59,100.31
26,62,Astroni 6,2,1,three-b,78b_20,210609,3.90,0.90,18.43,56.41,8.81,3.08,0.55,0.16,3.65,2214,5250,819,96.74
27,62,Astroni 6,2,1,three-b,78b_19,210609,3.81,0.82,18.48,57.83,8.84,3.20,0.42,0.11,4.11,1884,5535,1497,98.52
28,62,Astroni 6,2,1,three-b,78b_18,210609,4.20,0.89,18.64,57.98,9.00,3.29,0.52,0.11,3.96,1840,5698,644,99.41
29,62,Astroni 6,2,1,three-b,78b_17,210609,4.21,0.88,18.69,57.64,8.71,3.28,0.56,0.13,3.98,2543,5195,1064,98.96
30,62,Astroni 6,2,1,three-b,78b_16,210609,3.92,0.86,18.76,57.47,8.93,3.05,0.53,0.13,4.13,2540,5101,1873,98.72
31,62,Astroni 6,2,1,three-b,78b_14,210609,4.03,0.97,18.77,58.43,8.93,3.08,0.53,0.13,4.14,2071,4685,650,99.75
32,62,Astroni 6,2,1,three-b,78b_13,210609,4.02,0.86,18.76,57.24,9.00,3.00,0.52,0.05,3.90,2112,4919,999,98.15
33,62,Astroni 6,2,1,three-b,78b_12,210609,4.05,0.89,18.67,57.88,9.11,3.14,0.52,0.09,4.19,2193,5358,714,99.36
34,62,Astroni 6,2,1,three-b,78b_11,210609,3.69,0.93,18.97,57.80,9.10,3.27,0.50,0.09,3.98,2057,4987,1176,99.15
35,62,Astroni 6,2,1,three-b,78b_10,210609,3.70,0.93,18.80,57.97,8.66,3.39,0.47,0.13,4.07,2098,5417,535,98.92
36,62,Astroni 6,2,1,three-b,78b_9,210609,3.98,0.95,18.69,57.99,8.78,3.28,0.52,0.17,4.00,1652,5177,1469,99.18
37,62,Astroni 6,2,1,three-b,78b_7,210609,3.94,0.90,18.90,57.82,8.81,3.31,0.51,0.14,3.94,1957,5158,1104,99.09
38,62,Astroni 6,2,1,three-b,78b_6,210609,4.18,0.86,18.52,57.72,8.91,3.18,0.52,0.16,4.18,2393,4861,731,99.02
39,62,Astroni 6,2,1,three-b,78b_5,210609,4.11,0.92,19.02,57.69,9.07,3.25,0.57,0.06,4.12,1607,5319,1494,99.65
40,62,Astroni 6,2,1,three-b,78b_4,210609,4.08,0.89,18.75,57.86,8.88,3.32,0.53,0.08,4.10,2360,5537,1594,99.44
41,62,Astroni 6,2,1,three-b,78b_3,210609,4.23,0.89,18.39,57.40,8.56,3.21,0.50,0.20,4.11,1991,5412,1006,98.33
42,62,Astroni 6,2,1,three-b,78b_2,210609,3.95,0.83,18.72,58.17,8.93,3.10,0.49,0.17,3.92,1965,5220,193,99.01
43,62,Astroni 6,2,1,three-b,78b_1,210609,3.69,0.84,18.39,56.30,8.70,3.07,0.51,0.18,3.81,1749,5585,694,96.30
44,62,Astroni 6,2,1,three-b,78a_20,210609,4.00,0.90,18.64,57.37,8.71,3.22,0.51,0.15,3.84,1822,4755,637,98.06
45,62,Astroni 6,2,1,three-b,78a_19,210609,4.27,0.79,18.58,57.70,8.92,3.19,0.58,0.09,3.73,1691,5425,973,98.67
46,62,Astroni 6,2,1,three-b,78a_17,210609,4.11,0.92,18.83,58.06,8.95,3.23,0.52,0.11,4.01,2026,5034,1883,99.64
47,62,Astroni 6,2,1,three-b,78a_16,210609,3.82,0.94,18.37,57.71,8.66,3.21,0.51,0.10,4.08,1992,5423,492,98.19
48,62,Astroni 6,2,1,three-b,78a_15,210609,3.78,0.75,17.44,54.97,8.40,2.88,0.53,0.09,3.71,1833,5166,830,93.33
49,62,Astroni 6,2,1,three-b,78a_14,210609,4.21,0.90,18.66,57.87,9.10,3.28,0.50,0.11,3.95,2083,5115,1262,99.43
50,62,Astroni 6,2,1,three-b,78a_13,210609,4.14,0.91,18.46,57.67,8.85,3.10,0.46,0.08,3.93,2499,4959,19,98.36
51,62,Astroni 6,2,1,three-b,78a_12,210609,3.88,0.80,18.50,57.46,8.69,2.96,0.52,0.17,3.82,1664,4929,0,97.46
52,62,Astroni 6,2,1,three-b,78a_11,210609,3.97,0.90,18.82,58.19,9.01,3.11,0.51,0.11,4.01,1888,4897,959,99.40
53,62,Astroni 6,2,1,three-b,78a_10,210609,4.14,0.92,18.92,57.92,9.05,3.33,0.51,0.16,4.11,2159,5173,1134,99.91
54,62,Astroni 6,2,1,three-b,78a_8,210609,3.98,0.87,18.71,57.70,8.92,3.14,0.51,0.12,3.92,2010,5233,715,98.68
55,62,Astroni 6,2,1,three-b,78a_7,210609,4.03,0.74,18.48,57.88,8.91,2.96,0.52,0.12,3.70,1782,5368,2069,98.26
56,62,Astroni 6,2,1,three-b,78a_6,210609,4.07,0.85,18.60,57.38,8.80,3.09,0.52,0.07,3.80,1995,5675,995,98.04
57,62,Astroni 6,2,1,three-b,78a_5,210609,3.96,0.89,18.68,58.00,8.71,3.11,0.48,0.21,3.85,1911,5011,650,98.64
58,62,Astroni 6,2,1,three-b,78a_4,210609,3.96,0.73,18.79,58.18,9.01,2.83,0.46,0.12,3.70,1726,5287,1241,98.63
59,62,Astroni 6,2,1,three-b,78a_3,210609,4.45,0.71,18.53,58.19,9.15,2.68,0.46,0.13,3.68,1820,5001,1137,98.77
60,62,Astroni 6,2,1,three-b,78a_2,210609,4.00,0.83,18.73,57.92,8.92,3.18,0.48,0.12,3.80,1731,5215,500,98.71
61,62,Astroni 6,2,1,three-b,78a_1,210609,4.30,0.85,18.45,58.07,8.85,3.11,0.48,0.14,3.81,2053,5069,1271,98.89
62,62,Astroni 6,2,1,three-b,VF4?-7-20,300509,4.34,0.53,17.92,57.02,8.63,2.40,0.40,0.14,3.23,,,,94.61
63,62,Astroni 6,2,1,three-b,VF4?-7-18,300509,4.31,0.59,17.98,57.04,8.56,2.39,0.39,0.07,3.48,,,,94.83
64,62,Astroni 6,2,1,three-b,VF4?-7-17,300509,4.47,0.59,18.14,58.22,8.81,2.35,0.40,0.10,3.44,,,,96.52
65,62,Astroni 6,2,1,three-b,VF4?-7-16,300509,4.44,0.57,18.17,56.97,8.62,2.37,0.46,0.12,3.16,,,,94.88
66,62,Astroni 6,2,1,three-b,VF4?-7-15,300509,4.33,0.59,18.25,57.09,8.65,2.36,0.45,0.12,3.38,,,,95.21
67,62,Astroni 6,2,1,three-b,VF4?-7-14,300509,4.09,0.57,18.06,56.91,8.53,2.30,0.38,0.13,3.28,,,,94.24
68,62,Astroni 6,2,1,three-b,VF4?-7-11,300509,4.25,0.57,18.02,57.60,8.74,2.41,0.38,0.09,3.41,,,,95.47
69,62,Astroni 6,2,1,three-b,VF4?-7-8,300509,4.39,0.50,17.68,55.61,8.41,2.41,0.40,0.08,3.19,,,,92.66
70,62,Astroni 6,2,1,three-b,VF4?-7-7,300509,4.26,0.62,18.44,58.24,8.79,2.45,0.43,0.13,3.42,,,,96.79
71,62,Astroni 6,2,1,three-b,VF4?-7-5,300509,4.14,0.53,17.77,55.43,8.59,2.37,0.43,0.14,3.12,,,,92.53
72,62,Astroni 6,2,1,three-b,VF4?-7-4,300509,4.33,0.58,18.16,57.69,8.42,2.44,0.44,0.09,3.25,,,,95.40
73,62,Astroni 6,2,1,three-b,VF4?-7-3,300509,4.33,0.60,18.06,57.61,8.48,2.46,0.42,0.15,3.26,,,,95.36
74,62,Astroni 6,2,1,three-b,VF4?-7-2,300509,4.14,0.60,18.03,56.98,8.60,2.30,0.36,0.11,3.16,,,,94.28
75,62,Astroni 6,2,1,three-b,VF4?-7-1,300509,4.23,0.61,17.94,56.29,8.42,2.37,0.44,0.16,3.30,,,,93.76
76,62,Astroni 6,2,1,three-b,VF4?-2-18,300509,4.29,0.63,17.72,57.02,8.86,2.39,0.43,0.14,3.37,,,,94.86
77,62,Astroni 6,2,1,three-b,VF4?-2-17,300509,4.31,0.57,18.25,58.38,8.71,2.36,0.38,0.22,3.11,,,,96.29
78,62,Astroni 6,2,1,three-b,VF4?-2-16,300509,4.15,0.57,18.40,58.49,8.88,2.37,0.42,0.12,3.39,,,,96.80
79,62,Astroni 6,2,1,three-b,VF4?-2-15,300509,4.28,0.57,18.43,58.53,9.04,2.53,0.41,0.11,3.38,,,,97.29
80,62,Astroni 6,2,1,three-b,VF4?-2-14,300509,4.19,0.63,18.23,58.17,8.60,2.33,0.47,0.08,3.31,,,,96.01
81,62,Astroni 6,2,1,three-b,VF4?-2-13,300509,4.37,0.61,18.63,58.80,9.07,2.37,0.41,0.10,3.34,,,,97.69
82,62,Astroni 6,2,1,three-b,VF4?-2-12,300509,4.18,0.60,17.89,56.73,8.76,2.46,0.41,0.09,3.28,,,,94.41
83,62,Astroni 6,2,1,three-b,VF4?-2-11,300509,4.34,0.61,17.86,57.17,8.49,2.35,0.42,0.11,3.04,,,,94.38
84,62,Astroni 6,2,1,three-b,VF4?-2-10,300509,4.42,0.57,17.55,55.14,8.42,2.43,0.55,0.18,3.41,,,,92.66
85,62,Astroni 6,2,1,three-b,VF4?-2-7,300509,4.65,0.57,18.05,55.84,8.59,2.43,0.45,0.15,3.46,,,,94.17
86,62,Astroni 6,2,1,three-b,VF4?-2-6,300509,4.49,0.56,18.52,58.65,8.75,2.46,0.46,0.10,3.39,,,,97.36
87,62,Astroni 6,2,1,three-b,VF4?-2-5,300509,4.58,0.58,18.61,58.51,8.71,2.52,0.48,0.19,3.41,,,,97.59
88,62,Astroni 6,2,1,three-b,VF4?-2-4,300509,4.33,0.58,17.71,56.38,8.12,2.42,0.41,0.07,3.25,,,,93.27
89,62,Astroni 6,2,1,three-b,VF4?-2-3,300509,4.46,0.62,18.39,58.34,8.79,2.48,0.44,0.20,3.32,,,,97.04
90,62,Astroni 6,2,1,three-b,VF4?-2-2,300509,4.48,0.61,18.33,58.44,8.68,2.32,0.41,0.16,3.41,,,,96.83
91,62,Astroni 6,2,1,three-b,CF76_21_1,130810,4.19,0.64,18.59,58.33,8.81,2.53,0.50,0.12,3.26,867,,,97.07
92,62,Astroni 6,2,1,three-b,CF76_23_2,130810,4.55,0.61,19.03,59.28,8.69,2.45,0.47,0.20,3.31,932,,,98.68
93,62,Astroni 6,2,1,three-b,CF76_25_3,130810,3.99,0.60,18.92,58.41,9.18,2.51,0.44,0.08,3.58,581,,,97.77
94,62,Astroni 6,2,1,three-b,CF76_29_5,130810,4.50,0.58,18.22,58.87,7.92,2.25,0.53,0.13,3.08,1005,,,96.19
95,62,Astroni 6,2,1,three-b,CF76_31_6,130810,4.61,0.61,19.26,59.49,9.14,2.52,0.48,0.16,3.59,743,,,99.94
96,62,Astroni 6,2,1,three-b,CF76_33_7,130810,4.36,0.58,18.86,59.44,8.72,2.55,0.51,0.14,3.35,1027,,,98.61
97,62,Astroni 6,2,1,three-b,CF76_35_8,130810,4.09,0.60,18.71,58.74,8.95,2.35,0.49,0.15,3.26,1040,,,97.45
98,62,Astroni 6,2,1,three-b,CF76_37_9,130810,4.16,0.48,17.98,59.25,8.36,2.26,0.43,0.15,2.92,833,,,96.06
99,62,Astroni 6,2,1,three-b,CF76_39_10,130810,4.47,0.55,19.06,59.65,8.86,2.51,0.42,0.11,3.37,635,,,99.06
100,62,Astroni 6,2,1,three-b,CF76_41_11,130810,4.66,0.62,18.97,58.93,8.80,2.49,0.49,0.10,3.54,795,,,98.68
101,62,Astroni 6,2,1,three-b,CF76_43_12,130810,4.94,0.74,18.73,57.45,7.48,2.61,0.46,0.14,3.86,1236,,,96.56
102,62,Astroni 6,2,1,three-b,CF76_45_13,130810,4.24,0.66,18.22,55.33,8.02,2.70,0.47,0.10,3.66,1285,,,93.53
103,62,Astroni 6,2,1,three-b,CF76_47_14,130810,3.89,0.44,17.77,56.15,8.25,2.91,0.44,0.18,3.42,1229,,,93.58
104,62,Astroni 6,2,1,three-b,CF76_49_15,130810,4.20,0.53,18.20,57.64,8.72,2.29,0.45,0.20,3.18,937,,,95.50
105,62,Astroni 6,2,1,three-b,CF76_51_16,130810,4.38,0.54,18.24,57.40,8.58,2.31,0.43,0.11,3.21,546,,,95.25
106,62,Astroni 6,2,1,three-b,CF75_1,130809,4.25,0.56,18.39,59.43,8.80,2.59,0.42,0.16,3.55,,,,98.14
107,62,Astroni 6,2,1,three-b,CF75_2,130809,4.32,0.52,19.03,58.25,8.62,2.51,0.48,0.18,3.02,,,,96.92
108,62,Astroni 6,2,1,three-b,CF75_3,130809,4.10,0.58,18.52,58.95,8.89,2.51,0.42,0.04,3.44,,,,97.45
109,62,Astroni 6,2,1,three-b,CF75_4,130809,3.98,0.91,18.30,57.01,8.19,2.99,0.53,0.12,3.81,,,,95.83
110,62,Astroni 6,2,1,three-b,CF75_5,130809,4.29,0.60,19.14,58.23,8.55,2.37,0.44,0.16,3.34,,,,97.14
111,62,Astroni 6,2,1,three-b,CF75_6,130809,4.53,0.59,18.91,57.98,8.54,2.53,0.51,0.19,3.19,,,,96.96
112,62,Astroni 6,2,1,three-b,CF75_7,130809,4.08,0.60,18.13,58.16,8.72,2.61,0.45,0.13,3.38,,,,96.25
113,62,Astroni 6,2,1,three-b,VF1-1-20,300509,4.57,0.64,17.67,58.28,7.93,2.37,0.43,0.14,3.60,,,,95.63
114,62,Astroni 6,2,1,three-b,VF1-1-19,300509,4.57,0.58,18.39,57.69,8.97,2.37,0.45,0.12,3.32,,,,96.45
115,62,Astroni 6,2,1,three-b,VF1-1-18,300509,4.36,0.62,18.14,58.43,8.89,2.52,0.44,0.13,3.57,,,,97.10
116,62,Astroni 6,2,1,three-b,VF1-1-17,300509,4.63,0.60,18.37,58.69,8.82,2.43,0.42,0.15,3.55,,,,97.65
117,62,Astroni 6,2,1,three-b,VF1-1-16,300509,4.61,0.53,18.14,59.07,8.62,2.47,0.43,0.12,3.18,,,,97.17
118,62,Astroni 6,2,1,three-b,VF1-1-15,300509,4.38,0.63,18.23,58.10,8.81,2.39,0.43,0.13,3.45,,,,96.56
119,62,Astroni 6,2,1,three-b,VF1-1-13,300509,4.61,0.59,18.22,58.00,8.53,2.37,0.44,0.14,3.29,,,,96.21
120,62,Astroni 6,2,1,three-b,VF1-1-11,300509,4.39,0.57,18.22,58.10,8.86,2.39,0.39,0.12,3.50,,,,96.53
121,62,Astroni 6,2,1,three-b,VF1-1-10,300509,4.55,0.56,18.41,58.69,8.73,2.48,0.41,0.14,3.27,,,,97.23
122,62,Astroni 6,2,1,three-b,VF1-1-7,300509,4.43,0.62,18.26,57.87,8.80,2.39,0.44,0.17,3.48,,,,96.46
123,62,Astroni 6,2,1,three-b,VF1-1-6,300509,4.47,0.59,17.99,57.26,8.80,2.33,0.45,0.18,3.53,,,,95.61
124,62,Astroni 6,2,1,three-b,VF1-1-5,300509,4.25,0.60,18.36,58.04,9.02,2.53,0.41,0.15,3.39,,,,96.74
125,62,Astroni 6,2,1,three-b,VF1-1-4,300509,3.64,0.49,18.52,58.22,8.99,2.85,0.41,0.06,2.85,,,,96.02
126,62,Astroni 6,2,1,three-b,VF1-1-3,300509,4.36,0.69,17.48,56.29,8.50,2.42,0.42,0.08,3.74,,,,93.98
127,62,Astroni 6,2,1,three-b,VF1-1-2,300509,4.61,0.56,17.73,56.62,8.46,2.39,0.42,0.11,3.34,,,,94.24
128,62,Astroni 6,2,1,three-b,VF1-1-1,300509,4.50,0.58,18.04,56.90,8.67,2.47,0.38,0.15,3.39,,,,95.09
129,62,Astroni 6,2,1,three-b,CF75_1,291109,4.64,0.60,18.64,59.34,9.01,2.64,0.44,0.09,3.18,1213,7441,1136,99.54
130,62,Astroni 6,2,1,three-b,CF75_10,291109,4.78,0.63,18.98,58.75,8.89,2.50,0.50,0.07,3.39,1190,7311,2097,99.55
131,62,Astroni 6,2,1,three-b,CF75_2,291109,4.62,0.59,18.48,58.68,9.17,2.59,0.47,0.13,3.34,882,7856,565,98.98
132,62,Astroni 6,2,1,three-b,CF75_3,291109,4.87,0.67,18.29,58.57,8.86,2.63,0.48,0.12,3.37,1136,8615,1455,98.98
133,62,Astroni 6,2,1,three-b,CF75_4,291109,4.67,0.59,18.42,58.31,9.21,2.68,0.45,0.12,3.39,1218,7252,1381,98.82
134,62,Astroni 6,2,1,three-b,CF75_5,291109,4.75,0.62,18.83,59.93,8.45,2.47,0.52,0.06,3.39,1081,6516,724,99.83
135,62,Astroni 6,2,1,three-b,CF75_6,291109,4.10,0.60,17.95,57.53,8.28,2.67,0.48,0.15,3.26,1145,6639,870,95.87
136,62,Astroni 6,2,1,three-b,CF75_7,291109,4.59,0.58,18.88,58.96,8.85,2.55,0.51,0.15,3.49,791,7893,636,99.50
137,62,Astroni 6,2,1,three-b,CF75_8,291109,4.39,0.43,17.80,58.98,8.43,2.14,0.49,0.18,3.06,950,7272,1980,96.90
138,62,Astroni 6,2,1,three-b,CF75_9,291109,4.50,0.60,18.64,58.58,8.98,2.62,0.48,0.11,3.39,1207,7167,2075,98.94
139,61,Astroni 5,3,1,three-b,VF3-3-21,290509,4.46,0.57,18.53,59.29,8.66,2.33,0.44,0.18,3.30,,,,97.76
140,61,Astroni 5,3,1,three-b,VF3-3-20,290509,4.33,0.57,18.07,58.78,8.48,2.31,0.43,0.19,3.16,,,,96.32
141,61,Astroni 5,3,1,three-b,VF3-3-18,290509,4.51,0.56,18.36,59.09,8.38,2.47,0.44,0.13,3.36,,,,97.30
142,61,Astroni 5,3,1,three-b,VF3-3-17,290509,4.51,0.56,17.63,56.70,8.05,2.20,0.40,0.13,3.01,,,,93.19
143,61,Astroni 5,3,1,three-b,VF3-3-14,290509,3.95,0.58,18.48,59.50,8.41,2.41,0.45,0.09,3.31,,,,97.18
144,61,Astroni 5,3,1,three-b,VF3-3-13,290509,4.62,0.58,18.26,59.10,8.37,2.34,0.39,0.17,3.21,,,,97.04
145,61,Astroni 5,3,1,three-b,VF3-3-12,290509,4.51,0.54,18.54,59.26,8.50,2.38,0.47,0.14,3.42,,,,97.75
146,61,Astroni 5,3,1,three-b,VF3-3-10,290509,4.53,0.59,18.21,58.72,8.65,2.46,0.45,0.14,3.48,,,,97.23
147,61,Astroni 5,3,1,three-b,VF3-3-7,290509,4.74,0.58,18.56,59.79,8.53,2.35,0.45,0.19,3.27,,,,98.47
148,61,Astroni 5,3,1,three-b,VF3-3-6,290509,4.87,0.57,18.55,58.84,8.49,2.27,0.43,0.12,3.32,,,,97.47
149,61,Astroni 5,3,1,three-b,VF3-3-5,290509,4.24,0.58,17.49,56.67,7.96,2.22,0.38,0.16,3.24,,,,92.92
150,61,Astroni 5,3,1,three-b,VF3-3-4,290509,4.39,0.51,18.94,60.03,8.95,2.27,0.34,0.10,2.96,,,,98.49
151,61,Astroni 5,3,1,three-b,VF3-3-3,290509,4.66,0.57,18.26,58.80,8.61,2.32,0.45,0.14,3.27,,,,97.08
152,61,Astroni 5,3,1,three-b,VF3-3-2,290509,4.32,0.56,17.73,57.26,8.24,2.29,0.38,0.06,3.09,,,,93.92
153,61,Astroni 5,3,1,three-b,VF3-3-1,290509,4.42,0.53,18.09,58.44,8.41,2.32,0.44,0.16,3.38,,,,96.18
154,61,Astroni 5,3,1,three-b,CF73_1,130809,4.07,0.48,18.94,58.23,8.96,2.37,0.34,0.12,3.20,,,,96.70
155,61,Astroni 5,3,1,three-b,CF73_2,130809,4.17,0.56,18.09,57.67,8.26,2.55,0.53,0.17,3.51,,,,95.52
156,61,Astroni 5,3,1,three-b,CF73_3,130809,4.25,0.61,18.58,58.65,8.59,2.44,0.44,0.16,3.52,,,,97.25
157,61,Astroni 5,3,1,three-b,CF73_4,130809,4.18,0.63,17.93,57.88,8.62,2.39,0.43,0.11,3.34,,,,95.52
158,61,Astroni 5,3,1,three-b,VF1-2-20,300509,4.39,0.54,17.59,55.41,8.26,2.22,0.45,0.11,3.15,,,,92.12
159,61,Astroni 5,3,1,three-b,VF1-2-19,300509,4.12,0.66,18.11,57.22,8.67,2.56,0.42,0.13,3.43,,,,95.32
160,61,Astroni 5,3,1,three-b,VF1-2-18,300509,4.51,0.61,17.77,56.83,8.60,2.30,0.41,0.13,3.46,,,,94.61
161,61,Astroni 5,3,1,three-b,VF1-2-15,300509,4.39,0.59,17.43,57.35,8.45,2.35,0.43,0.14,3.18,,,,94.30
162,61,Astroni 5,3,1,three-b,VF1-2-14,300509,4.66,0.49,18.39,58.72,8.86,2.37,0.42,0.19,3.20,,,,97.30
163,61,Astroni 5,3,1,three-b,VF1-2-13,300509,4.38,0.47,18.35,58.45,8.65,2.39,0.42,0.21,3.07,,,,96.39
164,61,Astroni 5,3,1,three-b,VF1-2-12,300509,4.52,0.57,17.80,57.96,8.43,2.29,0.41,0.08,3.54,,,,95.60
165,61,Astroni 5,3,1,three-b,VF1-2-11,300509,4.30,0.54,17.74,55.89,8.61,2.11,0.40,0.10,3.18,,,,92.86
166,61,Astroni 5,3,1,three-b,VF1-2-10,300509,4.52,0.55,18.16,57.13,8.53,2.34,0.44,0.17,3.36,,,,95.20
167,61,Astroni 5,3,1,three-b,VF1-2-9,300509,4.11,0.62,17.10,55.49,8.15,2.28,0.43,0.20,3.40,,,,91.78
168,61,Astroni 5,3,1,three-b,VF1-2-8,300509,4.73,0.56,18.26,57.93,8.56,2.30,0.42,0.17,3.53,,,,96.47
169,61,Astroni 5,3,1,three-b,VF1-2-6,300509,4.46,0.84,18.21,56.60,8.51,3.06,0.58,0.08,3.96,,,,96.29
170,61,Astroni 5,3,1,three-b,VF1-2-5,300509,4.20,0.58,18.16,58.03,8.73,2.32,0.45,0.14,3.72,,,,96.33
171,61,Astroni 5,3,1,three-b,VF1-2-3,300509,4.58,0.70,18.48,57.72,8.60,2.63,0.46,0.13,3.77,,,,97.07
172,61,Astroni 5,3,1,three-b,VF1-2-1,300509,4.29,0.64,18.01,56.94,8.78,2.55,0.40,0.12,3.36,,,,95.08
173,61,Astroni 5,3,1,three-b,CF73_1,291109,4.56,0.70,18.18,58.13,8.68,2.61,0.47,0.21,3.41,836,9226,1467,98.10
174,61,Astroni 5,3,1,three-b,CF73_10,291109,4.51,0.64,18.83,57.98,8.74,2.65,0.46,0.03,3.54,1397,7275,2682,98.52
175,61,Astroni 5,3,1,three-b,CF73_2,291109,3.98,0.50,18.05,58.35,8.30,2.20,0.34,0.17,2.96,1059,7010,1884,95.84
176,61,Astroni 5,3,1,three-b,CF73_3,291109,3.78,0.50,17.74,57.31,7.86,2.32,0.49,0.19,3.31,964,7538,2281,94.59
177,61,Astroni 5,3,1,three-b,CF73_4,291109,4.33,0.75,19.15,58.16,8.90,2.94,0.54,0.12,3.71,1707,7230,2248,99.71
178,61,Astroni 5,3,1,three-b,CF73_5,291109,4.70,0.56,18.94,59.72,8.82,2.62,0.45,0.15,2.92,795,7460,1520,99.86
179,61,Astroni 5,3,1,three-b,CF73_6,291109,4.52,0.61,18.76,59.33,8.81,2.50,0.54,0.15,3.39,1494,8197,1745,99.76
180,61,Astroni 5,3,1,three-b,CF73_7,291109,4.45,0.60,18.26,58.55,8.59,2.54,0.47,0.17,3.53,1027,7453,1210,98.13
181,60,Astroni 4 ,4,1,three-b,cf72_1,301009,4.54,0.56,19.12,59.38,8.65,2.46,0.45,0.03,3.35,1568,6585,1018,99.46
182,60,Astroni 4 ,4,1,three-b,cf72_2,301009,4.37,0.60,19.08,58.70,9.02,2.59,0.48,0.06,3.54,944,7518,2880,99.57
183,60,Astroni 4 ,4,1,three-b,cf72_3,301009,4.51,0.52,19.14,59.29,9.05,2.46,0.45,0.19,3.18,1430,6604,1821,99.78
184,60,Astroni 4 ,4,1,three-b,cf72_4,301009,4.07,0.41,19.53,60.35,9.24,2.43,0.39,0.09,2.45,771,5430,2219,99.80
185,60,Astroni 4 ,4,1,three-b,cf72_5,301009,4.40,0.60,19.24,59.77,8.87,2.45,0.44,0.19,3.46,1371,7001,2574,100.52
186,60,Astroni 4 ,4,1,three-b,cf72_6,301009,4.36,0.54,19.02,59.74,8.72,2.49,0.45,0.07,3.47,1116,8055,741,99.85
