Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
2012,59,Astroni 3 ,1,82,three-b,20,100210am,12.90,60.31,0.13,382,235,34.41,451,70.54,28.02,135,81.08,144.25,15.43,57.42,8.24,1.52,8.60,0.90,6.64,1.31,3.77,0.64,3.49,0.67,9.25,4.14,88.10,43.37,12.89
2013,59,Astroni 3 ,1,82,three-b,20,100210am,15.98,60.31,0.15,370,231,33.92,457,73.59,27.96,129,80.34,144.72,16.62,57.12,10.83,1.31,8.12,0.95,5.54,1.20,2.91,0.59,3.44,0.57,9.32,4.11,71.67,41.70,13.03
2014,59,Astroni 3 ,1,82,three-b,20,100210am,19.77,60.31,0.14,364,321,26.96,376,66.93,24.28,222,70.27,135.19,13.25,45.63,7.91,1.72,6.91,1.00,5.34,0.96,2.73,0.42,2.77,0.45,7.94,3.47,69.60,35.49,12.43
2015,59,Astroni 3 ,1,82,three-b,20,100210am,22.21,60.31,0.15,380,206,35.16,481,78.16,29.01,119,85.54,150.25,16.17,57.03,9.59,1.59,8.00,1.19,6.64,1.21,3.34,0.60,3.70,0.53,10.26,4.35,76.24,44.56,12.80
2016,59,Astroni 3 ,1,82,three-b,20,100210am,18.11,60.31,0.15,373,220,33.42,445,75.82,28.91,124,81.09,146.12,15.93,55.54,10.69,1.60,8.02,0.96,5.35,1.08,3.99,0.58,3.66,0.51,9.59,3.94,72.86,41.95,12.90
2017,59,Astroni 3 ,1,82,three-b,20,100210am,10.91,60.31,0.14,404,282,34.91,471,73.13,29.28,175,83.87,146.92,17.01,57.90,10.63,1.75,9.25,1.32,5.87,1.32,3.45,0.48,3.92,0.58,9.44,3.98,73.81,43.71,13.23
2018,59,Astroni 3 ,1,82,three-b,20,100210am,14.02,60.31,0.14,375,246,34.73,467,75.35,27.87,138,82.24,146.18,16.06,57.32,10.01,1.62,8.22,1.18,7.48,1.46,3.65,0.61,3.29,0.60,10.39,4.08,66.91,45.13,12.13
2019,59,Astroni 3 ,1,82,three-b,20,100210am,13.70,60.31,0.13,367,267,34.73,450,69.86,26.67,151,81.98,139.49,15.01,58.37,9.82,1.62,7.40,1.01,6.99,1.32,4.25,0.61,3.25,0.55,9.99,3.86,62.85,41.32,11.67
2020,59,Astroni 3 ,1,82,three-b,20,100210am,15.22,60.31,0.12,364,249,35.12,462,72.70,26.44,166,83.80,141.46,16.40,59.83,9.63,1.95,8.78,1.08,7.13,1.45,3.31,0.58,3.53,0.61,10.14,4.06,64.79,43.29,11.57
2021,59,Astroni 3,1,80,three-b,20,040810am,25.50,60.88,0.25,369,228,34.72,452,68.99,28.60,145,80.58,149.44,15.96,54.62,10.35,1.55,7.57,1.02,5.92,1.14,3.67,0.53,3.33,0.52,9.34,3.95,66.13,43.36,12.93
2022,59,Astroni 3,1,80,three-b,20,040810am,5.68,60.71,0.30,342,271,38.28,536,79.07,25.13,179,96.26,172.11,17.51,62.25,12.48,2.74,11.02,1.30,8.40,1.44,4.04,0.84,4.00,0.95,11.41,3.46,48.01,49.46,13.00
2023,59,Astroni 3,1,80,three-b,20,040810am,16.97,61.00,0.26,389,244,35.49,473,73.49,31.14,163,87.40,152.64,16.09,56.16,9.34,1.82,9.12,1.17,7.09,1.17,3.53,0.48,3.51,0.64,9.68,4.01,93.92,44.52,12.37
2024,59,Astroni 3,1,80,three-b,20,040810am,13.39,60.64,0.26,387,292,34.12,461,71.74,31.85,225,91.37,160.38,17.70,58.63,9.63,1.81,7.67,0.93,6.72,1.29,4.47,0.54,3.71,0.64,10.57,4.52,77.93,47.38,14.64
2025,59,Astroni 3,1,80,three-b,20,040810am,10.20,60.71,0.17,376,266,33.96,439,67.64,29.36,208,87.23,149.14,16.34,59.29,11.19,1.59,7.69,1.13,6.12,1.21,3.09,0.52,3.46,0.48,8.24,3.63,73.78,41.71,12.43
2026,59,Astroni 3,1,80,three-b,20,040810am,17.57,60.87,0.25,377,240,30.19,400,66.60,28.50,182,74.11,131.47,14.31,43.37,9.91,1.41,6.19,0.88,6.03,1.14,3.59,0.55,2.86,0.44,8.79,3.64,68.06,38.55,11.64
2027,59,Astroni 3,1,80,three-b,20,040810am,11.87,60.16,0.21,392,240,27.83,385,62.61,29.90,198,70.56,129.75,14.01,48.78,8.61,1.61,6.67,0.88,5.01,1.01,3.02,0.26,3.23,0.46,8.04,3.47,72.91,37.03,11.88
2028,59,Astroni 3,1,80,three-b,20,040810am,7.71,60.76,0.24,435,239,34.77,473,70.88,30.01,273,76.85,120.71,17.61,47.11,8.67,1.78,7.26,1.11,6.24,0.91,3.58,0.70,3.31,0.47,11.02,3.84,70.35,40.67,9.80
2029,59,Astroni 3,1,80,three-b,20,040810am,24.15,60.96,0.24,373,237,34.17,463,70.12,28.18,149,83.09,143.90,15.92,53.04,9.76,1.47,7.39,1.04,5.77,1.26,3.65,0.49,3.37,0.57,10.04,3.75,68.02,43.53,12.07
2030,59,Astroni 3,1,80,three-b,20,040810am,19.54,61.01,0.25,364,270,35.05,496,70.00,29.09,159,94.30,164.83,16.86,58.10,11.20,1.80,8.11,1.18,7.26,1.30,3.83,0.53,4.16,0.60,10.14,4.18,69.36,48.25,12.99
2031,59,Astroni 3,1,80,three-b,20,040810am,4.75,60.83,0.16,320,180,30.40,369,57.61,51.49,144,75.65,121.98,13.42,43.27,6.78,0.70,5.45,0.85,6.33,0.92,2.80,0.42,3.84,0.02,6.19,2.93,56.43,29.95,9.20
2032,59,Astroni 3,1,80,three-b,20,040810am,14.39,60.44,0.20,368,248,28.73,377,66.54,28.97,181,70.47,139.41,13.57,47.84,8.20,1.67,8.15,0.78,5.25,1.08,2.72,0.57,3.58,0.45,8.00,3.08,67.56,35.84,12.02
2033,59,Astroni 3,1,80,three-b,20,040810am,16.10,61.00,0.22,408,126,36.74,492,75.36,33.60,59,87.45,156.93,17.16,56.86,9.96,1.60,8.05,1.19,6.27,1.39,3.36,0.60,3.95,0.66,10.26,4.07,77.67,45.72,13.46
2034,59,Astroni 3,1,80,three-b,20,040810am,5.51,61.06,0.17,377,238,19.79,323,57.00,21.18,266,61.73,107.40,12.48,42.24,9.36,0.90,6.13,0.84,4.39,0.87,2.17,0.35,2.66,0.22,8.62,3.11,62.32,31.04,8.91
2035,49,AMS (unit D1),2,51-1,three,20,100210pm,6.35,60.04,0.12,329,504,26.44,331,52.24,21.24,752,66.80,113.37,11.51,42.73,8.31,2.10,6.75,0.86,6.06,0.97,2.98,0.33,3.04,0.13,7.65,3.26,60.03,29.99,9.57
2036,49,AMS (unit D1),2,51-1,three,20,100210pm,14.53,60.04,0.12,326,484,23.67,319,52.44,22.69,789,65.10,121.56,12.51,47.51,8.18,1.51,6.46,1.02,5.84,0.93,3.34,0.44,2.42,0.38,7.44,3.28,61.19,32.05,9.73
2037,49,AMS (unit D1),2,51-1,three,20,100210pm,20.18,60.04,0.14,355,521,26.46,339,56.15,24.11,856,69.84,127.72,13.84,47.44,8.64,2.04,6.17,0.95,4.73,0.98,3.15,0.35,2.72,0.35,7.61,3.18,63.81,33.08,10.83
2038,49,AMS (unit D1),2,51-1,three,20,100210pm,14.46,60.04,0.12,340,486,24.91,323,54.54,24.48,793,64.45,121.35,12.44,45.69,8.00,1.48,6.92,0.76,4.41,1.01,2.85,0.41,3.24,0.41,6.95,3.06,83.62,31.98,10.23
2039,49,AMS (unit D1),2,51-1,three,20,100210pm,13.07,60.04,0.13,322,485,27.03,329,54.38,21.84,779,65.38,117.26,13.00,49.65,7.80,1.72,6.52,0.86,4.60,1.04,2.07,0.32,2.94,0.37,7.91,2.84,61.63,31.84,9.39
2040,49,AMS (unit D1),2,51-1,three,20,100210pm,13.54,60.04,0.11,320,516,24.64,311,49.74,22.04,845,62.01,112.52,11.74,48.26,8.41,1.75,6.13,0.79,3.84,1.03,3.09,0.44,2.97,0.35,6.57,3.01,60.13,30.28,8.81
2041,49,AMS (unit E2),2,56,three,20,100210pm,18.79,60.25,0.12,327,552,27.35,324,57.66,23.18,886,66.47,124.67,12.92,44.93,8.49,1.96,6.14,0.80,5.43,0.92,2.58,0.47,3.12,0.43,7.10,3.18,122.64,33.82,10.43
2042,49,AMS (unit E2),2,56,three,20,100210pm,19.14,60.25,0.13,337,518,27.24,330,54.20,24.61,839,66.09,117.98,12.48,46.91,8.24,1.67,6.35,0.95,5.89,0.95,2.49,0.37,2.94,0.44,7.28,3.32,88.79,33.24,9.81
2043,49,AMS (unit E2),2,56,three,20,100210pm,18.71,60.25,0.16,343,544,29.49,356,58.80,27.83,887,77.12,128.96,14.43,51.59,9.41,2.07,7.43,0.86,5.37,1.13,2.79,0.62,3.42,0.51,8.34,3.70,230.62,38.64,10.19
2044,49,AMS (unit E2),2,56,three,20,100210pm,11.53,60.25,0.12,350,494,25.77,311,52.60,24.94,778,64.63,111.35,11.85,46.18,8.45,1.44,6.52,0.95,4.96,0.88,2.53,0.45,2.91,0.46,6.64,2.68,90.08,29.99,8.72
2045,49,AMS (unit E2),2,56,three,20,100210pm,10.49,60.25,0.12,334,467,24.00,295,52.05,22.99,784,59.94,111.13,12.34,44.08,7.32,1.52,6.25,0.68,3.88,0.79,2.58,0.44,2.70,0.39,6.74,2.49,59.81,30.03,9.78
2046,49,AMS (unit E2),2,56,three,20,100210pm,15.12,60.25,0.18,326,392,23.06,282,45.46,21.34,728,56.08,104.74,10.65,41.51,6.96,1.46,5.89,0.84,4.06,0.86,2.92,0.42,2.25,0.46,5.95,2.61,101.36,26.63,7.83
2047,49,AMS (unit E2),2,56,three,20,100210pm,14.91,60.25,0.12,338,489,27.63,338,53.65,24.77,803,68.87,114.82,12.50,47.24,8.85,1.68,6.82,0.87,4.31,1.04,2.87,0.55,2.70,0.45,7.64,3.07,103.39,33.78,9.69
2048,49,AMS (unit E2),2,56,three,20,100210pm,16.40,60.25,0.15,326,449,25.79,312,51.41,21.78,816,65.87,113.30,12.09,44.29,8.52,1.60,5.75,0.74,4.57,0.86,2.93,0.48,2.81,0.46,7.47,2.61,61.31,31.11,8.77
2049,49,AMS (unit E2),2,56,three,20,100210pm,13.80,60.25,0.14,327,397,26.15,318,53.93,22.24,609,63.37,116.97,12.23,46.30,7.78,1.87,6.73,0.77,4.71,0.89,2.66,0.41,2.69,0.53,7.94,3.12,59.75,31.01,10.54
2050,49,AMS (unit E2),2,56,three,20,100210pm,14.21,60.25,0.15,333,407,25.55,311,52.12,23.48,607,61.39,112.79,11.58,44.01,8.72,1.64,5.83,0.83,4.76,1.20,3.18,0.36,3.09,0.46,6.19,2.74,59.82,30.42,9.14
2051,49,AMS (unit E2),2,56,three,20,100210pm,21.78,60.25,0.13,295,460,20.69,263,47.43,20.35,754,55.73,104.52,10.65,38.68,6.34,1.36,5.83,0.60,4.10,0.80,1.96,0.34,2.41,0.46,5.29,2.42,52.41,27.20,9.22
2052,49,AMS (unit E2),2,56,three,20,100210pm,15.25,60.25,0.13,323,412,22.36,282,50.30,22.07,672,56.24,104.49,10.74,39.32,6.66,1.40,5.66,0.70,4.09,0.73,2.04,0.29,2.60,0.28,6.20,2.46,57.64,26.99,8.75
2053,49,AMS (unit E2),2,56,three,20,100210pm,13.08,60.25,0.13,358,435,24.74,323,56.14,23.82,737,63.35,115.88,12.09,47.19,8.27,1.50,6.41,0.84,4.63,0.92,2.89,0.36,2.98,0.35,6.21,2.97,60.50,31.25,9.98
2054,49,AMS (unit E2),2,56,three,20,100210pm,10.69,60.25,0.15,349,512,23.11,285,52.62,24.19,905,60.10,110.81,11.71,45.09,9.12,1.26,5.85,0.81,4.78,0.77,3.13,0.31,2.17,0.35,6.38,2.71,60.26,29.07,9.27
2055,49,AMS (unit E2),2,56,three,20,100210pm,15.08,60.25,0.12,329,487,23.55,293,52.96,22.76,818,62.08,109.87,10.97,43.88,8.69,1.30,4.99,0.80,4.82,0.91,2.84,0.47,2.53,0.51,6.57,2.54,57.14,29.77,9.52
2056,49,AMS (unit B2),2,53,three,10,100210am,6.14,60.75,0.13,338,289,31.59,411,70.04,27.67,239,77.68,131.30,14.89,51.47,7.97,1.82,7.42,0.91,6.15,1.29,5.05,0.78,4.37,0.69,9.36,4.28,299.97,41.33,13.20
2057,49,AMS (unit B2),2,53,three,10,100210am,3.78,60.75,0.10,366,276,30.78,412,71.31,29.85,237,79.55,119.95,15.19,50.30,10.28,2.24,7.07,1.27,5.00,1.42,3.05,0.16,2.69,0.51,8.95,3.55,77.20,42.45,11.01
2058,49,AMS (unit B2),2,53,three,10,100210am,5.86,60.75,0.08,373,222,23.64,319,64.07,32.26,232,61.89,110.45,13.32,38.52,7.86,1.08,6.06,0.85,5.75,1.22,2.00,0.92,3.06,0.61,7.65,4.34,72.13,31.78,10.84
2059,49,AMS (unit B2),2,53,three,10,100210am,6.20,60.75,0.09,345,483,23.19,316,52.70,24.85,782,61.57,102.92,12.22,45.78,9.53,1.80,8.34,0.83,5.06,0.66,3.50,0.59,2.04,0.30,8.71,3.14,62.37,29.57,8.82
2060,49,AMS (unit B2),2,53,three,20,100210am,15.65,60.75,0.14,353,602,34.25,392,61.05,24.44,975,78.09,127.42,15.65,56.87,10.90,2.26,8.27,0.96,6.70,1.33,3.75,0.53,3.23,0.53,8.77,3.07,84.75,39.30,10.31
2061,49,AMS (unit B2),2,53,three,20,100210am,12.68,60.75,0.13,333,551,30.06,368,57.22,25.42,912,70.11,122.84,13.08,48.27,8.09,1.69,6.37,0.90,6.21,1.22,3.57,0.49,3.10,0.56,8.14,3.01,58.87,34.35,9.72
2062,49,AMS (unit B2),2,53,three,20,100210am,13.91,60.75,0.16,364,585,33.32,379,57.47,27.59,893,76.33,129.60,13.49,54.42,9.91,2.06,7.54,0.84,5.99,1.18,3.34,0.42,3.09,0.40,9.20,3.27,291.19,40.56,10.50
2063,49,AMS (unit B2),2,53,three,10,100210am,6.44,60.75,0.52,303,478,34.05,316,45.53,24.69,739,54.30,100.83,13.33,53.18,12.24,2.15,9.17,1.32,6.66,1.67,2.92,0.51,3.71,0.64,6.52,2.59,208.37,26.18,7.89
2064,49,AMS (unit B2),2,53,three,10,100210am,5.20,60.75,0.22,355,490,26.02,314,53.23,27.09,818,61.24,101.57,12.44,42.66,10.26,2.14,6.54,0.77,4.89,0.93,3.31,0.38,4.24,0.57,8.00,3.24,94.76,30.46,8.89
2065,49,AMS (unit B2),2,53,three,10,100210am,3.25,60.75,0.09,367,507,30.04,343,47.96,21.74,785,65.72,98.73,11.77,47.48,7.55,2.32,5.89,0.73,8.26,1.33,2.42,1.37,4.24,-0.01,8.56,2.36,58.10,29.02,7.86
2066,49,AMS (unit A1),2,52,three,20,110210am,10.76,61.07,0.08,411,319,39.31,534,81.16,32.84,333,92.55,150.41,15.98,57.94,10.28,1.63,8.66,0.95,5.89,0.87,3.64,0.60,3.99,0.64,12.20,5.12,74.96,51.45,13.24
2067,49,AMS (unit A1),2,52,three,20,110210am,24.29,61.07,0.09,313,252,30.64,424,67.16,25.42,225,74.25,133.56,14.33,50.46,7.63,1.38,6.57,1.10,6.18,1.10,3.48,0.49,3.02,0.54,9.53,3.58,56.25,42.52,12.07
2068,49,AMS (unit A1),2,52,three,20,110210am,12.26,61.07,0.10,433,289,41.46,555,90.65,38.35,291,101.31,171.14,18.18,66.33,11.17,1.33,9.33,1.09,8.45,1.58,4.49,0.90,4.50,0.79,12.46,5.58,94.14,56.27,14.94
2069,49,AMS (unit A1),2,52,three,20,110210am,22.23,61.07,0.15,404,356,38.25,531,80.02,32.40,419,94.14,163.68,17.50,62.05,11.70,2.14,8.13,1.22,6.69,1.45,3.46,0.54,3.82,0.63,11.63,4.69,74.95,51.95,14.24
2070,49,AMS (unit A1),2,52,three,20,110210am,14.82,61.07,0.11,381,286,33.17,468,76.52,28.84,273,82.78,146.91,15.58,57.22,10.74,1.40,7.44,1.03,6.16,1.47,4.37,0.58,4.08,0.46,10.43,3.97,69.47,45.27,12.60
2071,49,AMS (unit A1),2,52,three,20,110210am,17.74,61.07,0.13,445,212,52.78,726,121.70,44.02,232,128.30,224.86,23.70,89.13,14.76,1.61,11.18,1.40,10.71,1.90,5.15,0.83,5.51,0.87,15.92,6.49,78.65,78.35,21.79
2072,49,AMS (unit A1),2,52,three,20,110210am,20.14,61.07,0.10,409,266,41.19,561,88.90,35.30,255,100.36,179.35,19.28,69.40,11.78,1.96,9.89,1.05,9.06,1.60,3.66,0.52,4.72,0.65,11.82,4.52,77.50,56.18,16.22
2073,49,AMS (unit A1),2,52,three,20,110210am,18.99,61.07,0.10,452,270,35.65,496,86.28,36.97,268,92.47,159.67,17.69,59.94,10.56,1.89,8.25,1.02,5.30,1.44,3.56,0.57,4.19,0.41,10.19,4.63,87.72,50.87,14.96
2074,49,AMS (unit D1),2,51,three,20,100210pm,11.69,60.18,0.11,317,506,31.14,328,53.54,21.68,788,74.20,141.39,14.09,58.22,8.67,2.01,6.91,0.96,6.90,1.07,3.92,0.61,3.23,0.44,6.87,2.85,60.93,33.44,9.20
2075,49,AMS (unit D1),2,51,three,10,100210pm,4.80,60.18,0.03,352,495,26.58,332,50.48,22.30,768,68.97,115.47,12.64,45.81,9.95,1.61,5.02,0.86,4.45,1.27,2.10,0.42,3.21,0.50,7.16,2.37,78.53,30.20,7.89
2076,49,AMS (unit D1),2,51,three,20,100210pm,13.90,60.18,0.09,305,499,24.56,300,48.41,20.31,819,59.98,111.27,11.35,40.29,8.00,1.60,6.71,0.91,5.43,0.88,2.76,0.52,2.69,0.41,6.71,2.64,59.06,28.79,8.64
2077,49,AMS (unit D1),2,51,three,20,100210pm,11.78,60.18,0.13,322,524,26.06,334,53.17,21.85,831,66.34,113.76,12.35,50.86,7.46,1.73,6.36,1.08,6.52,0.89,2.98,0.33,2.66,0.37,7.99,2.82,56.38,31.89,8.95
2078,49,AMS (unit D1),2,51,three,10,100210pm,6.76,60.18,0.12,353,426,23.11,299,55.67,27.60,653,59.65,112.42,10.71,40.47,6.22,1.25,4.30,0.53,4.46,1.17,2.43,0.42,2.51,0.31,5.19,2.40,90.26,26.34,8.91
2079,49,AMS (unit D1),2,51,three,10,100210pm,5.51,60.18,0.04,348,473,23.57,299,45.64,23.89,734,56.25,106.18,10.36,41.29,7.23,1.88,5.53,0.95,4.68,0.45,2.46,0.55,2.27,0.25,5.45,2.12,57.33,23.41,8.12
2080,49,AMS (unit D1),2,51,three,10,100210pm,5.33,60.18,0.16,355,517,24.80,316,47.79,25.51,828,62.90,115.85,11.78,46.45,7.16,0.94,5.26,1.05,4.45,0.89,3.12,0.43,2.01,0.48,6.06,2.88,66.39,28.60,8.72
2081,49,AMS (unit A2),2,48,three,20,100210am,17.40,60.68,0.17,368,244,39.16,508,84.93,33.79,200,96.35,170.83,18.03,64.29,11.83,1.58,9.86,1.02,7.36,1.38,4.50,0.55,4.98,0.71,11.97,4.44,100.04,50.66,14.16
2082,49,AMS (unit A2),2,48,three,20,100210am,17.74,60.68,0.27,359,303,40.04,455,76.87,32.37,307,79.60,153.80,16.38,62.99,13.22,1.76,9.66,1.34,9.26,1.49,4.13,0.50,3.53,0.56,10.52,3.92,150.67,41.67,14.54
2083,49,AMS (unit A2),2,48,three,20,100210am,14.65,60.68,0.12,386,217,37.52,488,88.36,34.01,224,90.19,160.56,16.60,59.83,11.89,1.46,6.51,1.00,6.29,1.16,3.82,0.81,3.81,0.69,10.98,4.53,175.31,48.43,14.36
2084,49,AMS (unit A2),2,48,three,20,100210am,12.45,60.68,0.20,394,231,43.91,554,75.60,36.68,253,100.75,177.76,19.62,72.81,13.03,1.72,10.55,1.72,8.44,1.34,4.96,0.68,5.18,0.72,11.13,4.23,67.00,57.87,13.07
2085,49,AMS (unit A2),2,48,three,20,100210am,11.37,60.68,0.12,366,394,40.02,625,96.51,28.13,384,103.49,166.05,18.33,63.13,13.77,1.24,7.54,1.21,8.11,1.20,4.33,0.49,3.47,0.72,12.77,4.58,96.95,53.05,16.25
2086,49,AMS (unit A2),2,48,three,10,100210am,5.06,60.68,0.15,351,291,28.38,392,78.59,32.56,341,84.31,158.52,20.82,53.23,9.81,1.31,7.73,0.76,7.14,1.43,3.11,0.61,3.38,0.52,9.92,4.03,316.35,44.98,15.16
2087,49,AMS (unit A2),2,48,three,10,100210am,6.29,60.68,0.06,342,421,29.21,359,59.74,27.78,599,70.54,120.69,14.98,46.48,10.97,1.34,7.99,1.07,5.71,0.84,3.48,0.52,3.54,0.56,8.71,3.67,73.85,37.65,10.92
2088,49,AMS (unit A2),2,48,three,10,100210am,8.32,60.68,0.13,341,283,29.87,399,72.84,28.84,300,77.13,130.16,15.18,57.20,9.13,1.44,6.24,0.83,5.97,1.02,3.73,0.46,4.01,0.61,8.93,4.10,144.04,42.77,12.59
2089,49,AMS (unit A2),2,48,three,10,100210am,7.48,60.68,0.09,353,314,33.97,453,78.52,31.80,315,83.57,142.80,16.24,50.98,7.56,1.50,9.23,0.71,6.36,1.38,5.99,0.76,3.96,0.73,10.34,4.32,71.85,49.95,14.06
2090,49,AMS (unit A2),2,48,three,10,100210am,6.05,60.68,0.16,344,397,31.82,410,80.31,31.46,469,84.71,144.58,16.20,50.79,10.74,0.74,7.77,0.94,6.16,1.22,4.40,1.01,3.82,0.60,10.41,4.67,131.19,43.63,14.13
2091,49,AMS (unit A2),2,48,three,10,100210am,7.32,60.68,0.11,345,295,32.79,419,72.43,30.24,240,86.18,149.11,16.28,56.14,10.04,1.68,6.67,1.12,6.56,1.29,3.84,0.24,3.91,0.49,10.50,4.47,93.61,47.43,14.94
2092,49,AMS (unit A2),2,48,three,10,100210am,4.41,60.68,0.02,377,285,34.94,486,71.07,30.57,232,87.49,138.78,15.96,56.45,11.67,1.76,6.69,0.93,6.46,1.48,4.97,1.00,3.93,0.65,11.36,3.94,109.52,47.43,11.87
2093,47,Paleoastroni 1,1,58,three,20,110210am,18.88,60.80,0.10,361,315,33.55,470,76.91,27.54,387,81.41,147.16,15.57,58.01,9.16,1.71,7.54,1.17,6.85,1.17,3.79,0.55,3.63,0.73,9.29,4.32,68.84,45.19,14.02
2094,47,Paleoastroni 1,1,58,three,20,110210am,28.27,60.80,0.10,387,358,35.24,501,88.56,30.94,446,92.34,165.67,17.50,63.71,10.80,1.88,8.68,1.17,5.70,1.14,3.46,0.61,3.96,0.65,11.74,4.45,68.08,49.63,14.25
2095,47,Paleoastroni 1,1,58,three,20,110210am,17.55,60.80,0.14,361,313,31.87,464,77.30,28.97,418,80.58,147.17,15.46,53.43,10.11,1.36,7.59,1.03,6.80,1.11,3.08,0.53,3.79,0.61,10.49,4.12,65.61,43.76,13.20
2096,47,Paleoastroni 1,1,58,three,20,110210am,27.96,60.80,0.10,380,320,32.04,447,78.74,29.94,404,80.68,154.07,15.51,52.76,9.48,1.68,8.39,1.15,5.57,1.23,3.39,0.49,3.79,0.45,9.51,3.87,68.37,43.75,13.77
2097,47,Paleoastroni 1,1,58,three,20,110210am,12.90,60.80,0.10,368,305,33.58,460,89.09,30.55,279,79.88,153.13,15.88,58.83,9.28,1.87,8.64,0.91,5.74,1.28,4.24,0.43,4.43,0.50,9.87,4.22,67.79,43.65,11.88
2098,47,Paleoastroni 1,1,58,three,20,110210am,17.61,60.80,0.14,412,372,33.50,478,79.38,33.80,444,87.35,161.36,16.70,56.77,10.84,2.20,8.43,1.19,5.83,1.37,3.66,0.48,3.76,0.61,10.08,4.31,79.22,47.26,13.14
2099,47,Paleoastroni 1,1,58,three,20,110210am,16.54,60.80,0.11,369,427,35.43,482,74.19,28.31,555,89.20,153.60,16.73,60.24,11.08,2.17,9.75,1.03,6.23,1.32,3.89,0.56,4.35,0.74,11.63,4.50,79.24,46.61,13.45
2100,47,Paleoastroni 1,1,58,three,20,110210am,16.10,60.80,0.11,376,367,30.69,414,67.65,26.99,468,75.73,139.62,15.05,53.42,10.05,1.46,6.78,0.85,6.05,1.21,3.20,0.23,3.43,0.57,9.57,3.38,66.93,41.92,12.58
2101,47,Paleoastroni 1,1,58,three,20,110210am,19.65,60.80,0.13,378,327,31.41,425,74.89,30.11,403,79.64,146.92,14.80,54.32,8.92,1.34,6.32,0.98,4.72,0.98,3.14,0.61,3.59,0.47,9.70,4.10,83.93,40.57,12.49
2102,47,Paleoastroni 1,1,58,three,20,110210am,18.74,60.80,0.10,382,327,35.64,473,80.79,31.29,342,90.39,166.95,17.20,59.45,11.65,1.84,8.15,1.12,6.37,0.95,3.15,0.36,3.88,0.61,10.46,4.06,98.09,48.41,15.40
2103,47,Paleoastroni 1,1,58,three,20,110210am,18.52,60.80,0.10,377,351,30.45,432,73.70,28.86,490,78.99,143.25,14.96,51.24,9.24,1.44,7.49,1.15,6.06,1.05,3.28,0.52,3.18,0.46,9.91,3.78,71.83,42.41,12.56
2104,47,Paleoastroni 1,1,58,three,20,110210am,22.71,60.80,0.21,343,574,33.13,388,62.56,25.58,989,73.82,138.70,14.43,55.43,8.26,1.87,6.97,0.97,6.37,1.27,3.13,0.56,3.17,0.52,8.92,3.50,62.19,38.13,10.74
2105,47,Paleoastroni 1,1,58,three,20,110210am,18.61,60.80,0.11,392,296,30.77,426,74.77,30.37,300,78.47,149.11,14.98,53.16,8.60,1.53,6.61,0.78,5.31,1.17,3.58,0.50,3.27,0.57,9.18,3.80,70.64,42.59,12.97
2106,47,Paleoastroni 1,1,58,three,10,110210am,5.88,60.80,0.12,388,350,25.48,382,69.44,27.83,447,71.22,136.98,12.76,48.65,7.28,1.89,6.57,1.46,5.06,0.91,2.34,0.51,2.51,0.52,9.05,3.08,107.11,34.20,13.43
2107,44,Agnano 3,3,106,three,20,030810pm,10.86,60.64,0.21,369,319,36.44,506,71.58,29.79,402,88.01,136.60,18.53,60.15,10.29,1.26,7.40,1.04,6.61,1.22,3.41,0.51,3.72,0.65,9.60,3.75,58.60,42.95,12.66
2108,44,Agnano 3,3,106,three,20,030810pm,18.77,61.38,0.24,399,304,35.85,495,78.50,34.24,420,92.05,160.15,18.04,58.94,10.64,1.45,6.42,1.10,6.58,1.36,3.47,0.61,4.45,0.54,11.72,4.75,64.90,48.35,14.58
2109,44,Agnano 3,3,106,three,20,030810pm,10.95,60.87,0.31,378,363,38.81,410,59.15,27.83,653,93.88,135.95,17.51,58.80,10.28,1.83,11.27,1.37,7.39,1.38,3.31,0.67,3.88,0.55,9.66,3.38,72.90,40.83,9.79
2110,44,Agnano 3,3,106,three,20,030810pm,18.49,61.04,0.28,411,314,34.92,492,77.82,35.49,422,90.51,156.78,16.75,58.25,9.82,1.43,7.12,1.27,6.38,1.37,3.38,0.54,3.39,0.61,11.08,4.33,72.43,45.42,14.33
2111,44,Agnano 3,3,106,three,20,030810pm,13.32,60.79,0.25,393,320,33.44,492,77.24,32.64,448,82.91,151.20,16.51,59.47,9.53,1.59,8.81,1.05,5.35,1.28,3.76,0.80,3.44,0.62,12.84,4.06,59.62,45.19,14.02
2112,44,Agnano 3,3,106,three,20,030810pm,10.68,59.68,0.20,342,396,29.84,398,57.30,26.71,608,74.20,127.56,12.44,49.10,7.62,1.45,8.18,1.21,4.78,0.89,3.61,0.33,3.43,0.45,6.42,3.29,53.92,33.53,10.42
2113,44,Agnano 3,3,106,three,20,030810pm,19.31,61.16,0.25,402,346,38.85,573,82.25,33.51,434,99.86,166.14,18.58,67.48,12.79,1.69,9.92,1.34,7.16,1.49,4.85,0.60,4.06,0.75,13.74,4.56,64.49,51.64,15.04
