Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
1937,62,Astroni 6,1,78-2,three-b,20,100210pm,22.24,58.86,0.11,312,679,25.35,290,55.49,20.00,1096,66.90,120.49,12.27,44.23,8.20,2.03,6.05,0.81,4.89,0.86,2.44,0.44,2.39,0.41,6.23,2.61,61.07,28.77,9.00
1938,62,Astroni 6,1,78-2,three-b,20,100210pm,18.05,58.86,0.13,349,633,29.58,334,54.61,23.18,1025,73.17,121.63,13.32,52.51,7.96,1.76,7.76,1.00,5.46,1.12,3.22,0.54,2.89,0.40,7.21,3.22,63.39,33.92,9.31
1939,62,Astroni 6,1,78-2,three-b,20,100210pm,26.26,58.86,0.12,321,705,26.57,321,56.81,20.92,1135,70.59,124.39,13.52,50.83,10.02,1.93,6.15,0.98,5.18,0.95,2.61,0.47,2.74,0.43,6.72,3.02,61.63,31.29,8.88
1940,62,Astroni 6,1,78-2,three-b,20,100210pm,13.08,58.86,0.07,337,663,23.61,295,57.62,22.06,1106,66.77,121.44,13.02,46.45,7.78,2.01,7.12,0.93,5.07,0.98,2.73,0.31,2.38,0.42,6.06,2.93,56.91,30.09,9.01
1941,62,Astroni 6,1,78-2,three-b,20,100210pm,19.75,58.86,0.11,331,644,25.87,293,55.39,21.74,1054,66.79,115.65,12.29,47.45,7.69,1.75,6.09,0.92,5.48,0.80,2.27,0.41,2.67,0.41,5.52,2.97,74.38,28.06,8.60
1942,62,Astroni 6,1,78-2,three-b,20,100210pm,18.15,58.86,0.14,338,614,26.38,304,54.68,19.84,970,71.07,124.02,13.57,49.41,7.46,1.73,6.93,0.76,5.55,1.08,2.91,0.48,2.88,0.32,6.90,3.05,56.54,30.89,9.24
1943,62,Astroni 6,1,78-1,three-b,20,100210pm,12.34,59.11,0.09,328,700,30.47,348,58.30,22.56,1143,80.98,134.63,15.07,58.13,9.66,2.41,8.24,1.01,5.13,0.98,2.46,0.37,3.14,0.51,8.05,3.11,92.82,36.91,10.67
1944,62,Astroni 6,1,78-1,three-b,20,100210pm,11.94,59.11,0.14,304,754,32.13,354,55.00,19.93,1110,79.06,122.47,13.87,52.78,8.90,1.46,7.17,0.87,5.43,1.25,2.50,0.41,3.38,0.41,8.40,2.69,93.41,34.75,8.69
1945,62,Astroni 6,1,78-1,three-b,20,100210pm,15.21,59.11,0.12,342,712,32.13,355,57.09,21.96,1137,78.32,125.00,14.32,52.43,9.30,2.01,8.27,1.02,5.35,1.20,3.21,0.50,3.00,0.54,7.64,3.02,62.28,34.50,8.95
1946,62,Astroni 6,1,78-1,three-b,20,100210pm,15.79,59.11,0.09,335,616,27.39,332,55.79,21.88,946,69.44,115.12,12.88,48.19,7.82,1.61,5.98,0.92,4.96,0.88,3.07,0.30,2.86,0.47,7.25,2.96,64.89,32.83,8.76
1947,62,Astroni 6,1,78-1,three-b,10,100210pm,7.53,59.11,0.10,334,596,22.41,289,54.78,20.32,945,64.54,112.98,10.97,48.13,8.09,1.62,5.06,0.77,3.66,0.96,1.97,0.46,2.57,0.51,6.37,2.55,56.94,27.99,8.48
1948,62,Astroni 6,1,78-1,three-b,10,100210pm,4.07,59.11,0.12,311,569,23.57,297,45.73,19.56,859,65.42,112.08,11.23,41.99,7.61,1.78,5.78,0.65,4.64,0.76,2.62,0.29,2.44,0.37,6.75,2.33,71.46,27.51,8.21
1949,62,Astroni 6,1,78-1,three-b,10,100210pm,4.41,59.11,0.17,314,652,26.42,300,54.30,19.16,1094,68.13,117.17,13.45,49.74,7.46,1.11,4.12,1.16,3.50,0.85,2.34,0.34,1.33,0.32,6.40,2.91,80.11,29.53,10.20
1950,62,Astroni 6,1,78-1,three-b,10,100210pm,3.99,59.11,0.08,365,650,22.89,333,46.59,23.03,993,62.37,101.30,10.90,42.46,10.22,1.48,4.21,0.53,5.48,1.02,2.83,0.25,2.39,0.70,7.43,1.94,792.10,25.08,7.33
1951,62,Astroni 6,1,78-1,three-b,10,100210pm,3.72,59.11,0.01,338,612,24.14,299,50.58,20.90,886,63.33,107.83,11.11,48.43,8.33,1.40,5.70,0.79,4.94,0.51,3.19,0.34,2.53,0.52,5.96,3.27,64.52,27.80,7.32
